#{"t_start": 1783608801.6203597, "env_id": "None"}
r,l,t
800.6152,977,812.126562
795.6159,1007,817.994491
1159.3009,1130,819.770165
999.60034,1103,820.591431
913.6439,1065,824.170092
1117.525,1165,825.324165
984.5487,1169,828.381531
799.2076,981,835.032167
722.5678,920,836.163381
969.01013,1101,839.510442
794.0293,971,841.710456
1158.142,1127,843.436346
826.8331,1014,844.273571
1158.5178,1083,845.25205
796.1703,975,846.735001
1090.5221,1098,847.62977
765.3225,947,849.671506
691.64404,896,850.700709
1223.2571,1119,851.708169
590.38367,807,856.684183
824.5748,1012,857.951612
1235.4368,1109,867.144758
800.72534,980,867.843384
1480.0867,1253,868.509313
982.41,1103,874.330493
419.9683,630,875.036204
797.8193,974,875.874418
741.1201,930,877.124755
798.4129,974,879.812112
821.73145,997,881.134626
797.7927,973,882.96653
1074.607,1097,884.911196
1259.1674,1134,887.182898
1304.3773,1139,892.914622
1133.8292,1133,895.25697
1422.5659,1209,896.051655
1281.1974,1135,897.240071
328.4025,609,899.069113
614.2036,830,900.988054
792.12445,971,964.864107
793.5209,973,965.708622
692.70135,886,966.872865
